Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
23010;Voltaire - Anatole France;OUI;27;21;6;4;2;OUI;OUI;2020-03-29T18:38:03+02:00;48.892061744,2.28446692228;Levallois-Perret;
44101;Place Mongolfier;OUI;39;27;12;10;2;OUI;OUI;2020-03-29T18:37:03+02:00;48.8151600301,2.45928794146;Saint-Maurice;
46002;Rouget de Lisle;NON;0;0;0;0;0;NON;NON;2019-03-19T15:06:29+01:00;48.7646675418,2.407155402;Choisy-le-Roi;
9004;Gérando - Rochechouart;OUI;21;14;7;4;3;OUI;OUI;2020-03-29T18:29:45+02:00;48.8829434084,2.34648462385;Paris;
18041;Rochechouart - Martyrs;OUI;20;17;3;1;2;OUI;OUI;2020-03-29T18:32:17+02:00;48.8821937796,2.34054956585;Paris;
8057;Hoche - Tilsitt;OUI;33;27;6;5;1;OUI;OUI;2020-03-29T18:32:27+02:00;48.8748364578,2.29713231325;Paris;
15039;Abbé Groult - Convention;OUI;12;4;8;8;0;OUI;OUI;2020-03-29T18:38:23+02:00;48.8359692787,2.30206403951;Paris;
4019;Cloître Saint-Merri - Renard;OUI;32;15;17;15;2;OUI;OUI;2020-03-29T18:35:12+02:00;48.8588354489,2.35182791948;Paris;
18026;Ruisseau - Ordener;OUI;35;28;7;5;2;OUI;OUI;2020-03-29T18:32:22+02:00;48.8929946257,2.34014488757;Paris;
7012;Cité Vaneau;OUI;26;4;22;14;8;OUI;OUI;2020-03-29T18:36:35+02:00;48.8542210666,2.31961492449;Paris;
10034;Louis Blanc - La Chapelle;OUI;21;6;14;5;9;OUI;OUI;2020-03-29T18:35:35+02:00;48.8840089645,2.35993355513;Paris;
14135;Jourdan - Cité Universitaire;OUI;39;31;8;1;7;OUI;OUI;2020-03-29T18:38:06+02:00;48.8198973432,2.33970079641;Paris;
12002;Lacuée - Lyon;OUI;16;11;5;4;1;OUI;OUI;2020-03-29T18:30:31+02:00;48.849268482,2.3704585433;Paris;
24006;Adolphe Lalyre - Armand Silvestre;OUI;40;36;4;1;3;OUI;OUI;2020-03-29T18:31:54+02:00;48.904197,2.273395;Courbevoie;
1014;Rivoli - Musée du Louvre;OUI;24;13;11;10;1;OUI;OUI;2020-03-29T18:36:20+02:00;48.8636463685,2.33409583569;Paris;
48005;Eugène Varlin - Place de la Paix;OUI;23;18;5;1;4;OUI;OUI;2020-03-29T18:30:16+02:00;48.792862,2.363093;Villejuif;
4012;Tiron - Rivoli;OUI;28;5;23;20;3;OUI;OUI;2020-03-29T18:37:23+02:00;48.8556922532,2.35790580511;Paris;
14133;Froidevaux - Boulard;OUI;35;31;4;1;3;OUI;OUI;2020-03-29T18:36:39+02:00;48.8351473196,2.32944119722;Paris;
31104;Mairie de Rosny-sous-Bois;OUI;30;17;13;2;11;OUI;OUI;2020-03-29T18:34:25+02:00;48.871256519,2.48658075929;Rosny-sous-Bois;
21954;Val-Fleury;OUI;23;15;8;1;7;OUI;OUI;2020-03-29T18:35:00+02:00;48.807671408,2.24072176963;Meudon;
35005;Quai de l'Aisne - Général Leclerc;OUI;27;18;9;8;1;OUI;OUI;2020-03-29T18:36:52+02:00;48.895713,2.400571;Pantin;
1023;Saint-Honoré - Musée du Louvre;OUI;22;18;4;3;1;OUI;OUI;2020-03-29T18:36:21+02:00;48.8634431328,2.33487818464;Paris;
12113;Cardinal Lavigerie;OUI;46;19;27;20;7;OUI;OUI;2020-03-29T18:37:53+02:00;48.8329341937,2.4026367494;Paris;
17020;Jouffroy d'Abbans - Malesherbes;OUI;27;20;7;1;6;OUI;OUI;2020-03-29T18:36:14+02:00;48.8850134,2.3070717;Paris;
19006;Mathis - Flandre;OUI;55;40;15;8;7;OUI;OUI;2020-03-29T18:38:04+02:00;48.8906429899,2.37625546753;Paris;
42303;Place Eustache Deschamps;OUI;20;10;10;6;4;OUI;OUI;2020-03-29T18:32:00+02:00;48.793855,2.336637;Cachan;
20020;Pyrénées - Charles Renouvier;OUI;29;27;2;0;2;OUI;OUI;2020-03-29T18:37:57+02:00;48.8609593323,2.40042185204;Paris;
17006;Guy Môquet - Compoint;OUI;36;27;9;6;3;OUI;OUI;2020-03-29T18:36:35+02:00;48.8921355904,2.32321947813;Paris;
7023;Bourdonnais - Tour Eiffel;OUI;60;37;23;19;4;OUI;OUI;2020-03-29T18:36:10+02:00;48.8608977979,2.29559959845;Paris;
19102;Rampal - Belleville;OUI;17;16;1;1;0;OUI;OUI;2020-03-29T18:34:45+02:00;48.8730216016,2.37991098315;Paris;
6005;Montparnasse -  Square Ozanam;OUI;49;31;7;3;4;OUI;OUI;2020-03-29T18:34:27+02:00;48.8433105678,2.32652429491;Paris;
14025;Jacquier - Didot;OUI;30;28;2;0;2;OUI;OUI;2020-03-29T18:30:06+02:00;48.8295333629,2.31817927212;Paris;
5016;Thouin - Cardinal Lemoine;OUI;17;14;3;2;1;OUI;OUI;2020-03-29T18:30:41+02:00;48.8450471666,2.34946478513;Paris;
