Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
2002;Etienne Marcel - Montorgueil;OUI;28;16;12;11;1;OUI;OUI;2020-03-29T18:31:56+02:00;48.8645056726,2.3461959511;Paris;
12163;Hippodrome Paris-Vincennes;NON;0;0;0;0;0;NON;NON;2020-02-01T11:50:50+01:00;48.8212885412,2.45308431645;Paris;
10041;Gare du Nord - La Chapelle;OUI;18;13;5;2;3;OUI;OUI;2020-03-29T18:37:34+02:00;48.8841782873,2.35610570759;Paris;
12165;Champs de Manoeuvre - Cartoucherie;NON;0;0;0;0;0;NON;NON;2019-03-21T10:50:32+01:00;48.8340712158,2.44561329738;Paris;
5003;Le Goff - Gay-Lussac;OUI;35;33;2;1;1;OUI;OUI;2020-03-29T18:33:11+02:00;48.846102401,2.34122078866;Paris;
2006;Place des Victoires;OUI;24;18;6;6;0;OUI;OUI;2020-03-29T18:31:25+02:00;48.8660354,2.3420333;Paris;
48012;Stalingrad - Henri Luisette;OUI;26;21;5;3;2;OUI;OUI;2020-03-29T18:31:14+02:00;48.7836309246,2.36693594676;Villejuif;
23703;Gare de Chaville Rive Gauche;OUI;18;12;6;2;4;OUI;OUI;2020-03-29T18:28:56+02:00;48.805072,2.188594;Chaville;
18021;Marcadet - Ramey;OUI;21;19;2;0;2;OUI;OUI;2020-03-29T18:34:10+02:00;48.890875,2.3449019;Paris;
16116;George Sand - Jean de La Fontaine;OUI;30;26;4;4;0;OUI;OUI;2020-03-29T18:34:13+02:00;48.8498691876,2.26825738753;Paris;
43004;Montreuil - République;OUI;25;19;6;1;5;OUI;OUI;2020-03-29T18:28:35+02:00;48.8502634946,2.43452042341;Vincennes;
8007;Rome - Provence;OUI;30;11;19;19;0;OUI;OUI;2020-03-29T18:37:09+02:00;48.8742300556,2.32557011172;Paris;
10031;Louis Blanc - Aqueduc;OUI;37;32;5;2;3;OUI;OUI;2020-03-29T18:33:59+02:00;48.8820301826,2.36356157809;Paris;
13023;Bobillot - Moulin des Prés;OUI;28;25;3;1;2;OUI;OUI;2020-03-29T18:38:01+02:00;48.8286573462,2.35302064632;Paris;
13037;Ivry - Baudricourt;OUI;20;11;9;7;2;OUI;OUI;2020-03-29T18:32:35+02:00;48.8246959954,2.36310607358;Paris;
21010;Silly - Galliéni;OUI;25;21;4;2;2;OUI;OUI;2020-03-29T18:30:46+02:00;48.8355838387,2.23255008459;Boulogne-Billancourt;
45003;11 Novembre 1918 - 8 Mai 1945;OUI;36;24;12;8;4;OUI;OUI;2020-03-29T18:36:14+02:00;48.8088953377,2.53824211657;Champigny-sur-Marne;
11047;Amelot - Saint-Sébastien;OUI;30;21;9;6;3;OUI;OUI;2020-03-29T18:38:20+02:00;48.8611421628,2.36779961811;Paris;
17030;Pereire - Rennequin;OUI;23;10;13;8;5;OUI;OUI;2020-03-29T18:33:17+02:00;48.8836478289,2.29524470866;Paris;
18003;Cimetière de Montmartre;OUI;43;39;4;1;3;OUI;OUI;2020-03-29T18:30:15+02:00;48.8864724661,2.33289018273;Paris;
33017;Anatole France - President Roosevelt;OUI;30;22;8;2;6;OUI;OUI;2020-03-29T18:37:01+02:00;48.9155156,2.3814103;Aubervilliers;
19018;Cité de la Musique;OUI;60;60;0;0;0;NON;NON;2019-09-25T07:55:41+02:00;48.8887965565,2.39258119319;Paris;
18009;Jean-François Lépine - Stephenson;OUI;22;21;1;0;1;OUI;OUI;2020-03-29T18:29:12+02:00;48.886114668,2.35685562753;Paris;
21112;Claude Debussy - Marc Bloch;OUI;28;17;11;8;3;OUI;OUI;2020-03-29T18:34:59+02:00;48.9103881805,2.31177717447;Clichy;
7102;Mairie du 7ème;OUI;27;12;15;14;1;OUI;OUI;2020-03-29T18:37:11+02:00;48.8577967,2.3192664;Paris;
21313;Guynemer - Séverine;OUI;26;19;7;3;4;OUI;OUI;2020-03-29T18:33:35+02:00;48.8309174337,2.27907065302;Issy-les-Moulineaux;
10011;Bourse du Travail;OUI;17;4;13;5;8;OUI;OUI;2020-03-29T18:35:35+02:00;48.8689766388,2.3623438552;Paris;
15025;Dupleix - du Guesclin;OUI;47;16;31;29;2;OUI;OUI;2020-03-29T18:36:49+02:00;48.8514791041,2.29670953006;Paris;
17011;Fragonard - Porte de Clichy;OUI;56;34;21;14;7;OUI;OUI;2020-03-29T18:38:22+02:00;48.8941556334,2.31438931078;Paris;
8033;Commandant Rivière;OUI;27;18;9;3;6;OUI;OUI;2020-03-29T18:34:29+02:00;48.872933,2.309796;Paris;
42207;Place des Marseillais;OUI;37;35;2;0;2;OUI;OUI;2020-03-29T18:33:17+02:00;48.8266390725,2.40592807531;Charenton-le-Pont;
35009;Jean Lolive - Parc Stalingrad;OUI;23;14;9;3;6;OUI;OUI;2020-03-29T18:34:33+02:00;48.892061744,2.40917354822;Pantin;
16129;Ceinture du Lac Inferieure - Saint-Cloud;OUI;42;38;4;3;1;OUI;OUI;2020-03-29T18:28:32+02:00;48.8621807093,2.26178716868;Paris;
11114;Ledru-Rollin - Charonne;OUI;32;15;17;13;4;OUI;OUI;2020-03-29T18:38:06+02:00;48.8534585561,2.37724635819;Paris;
14139;Pierre Larousse - Raymond Losserand;OUI;30;20;10;2;8;OUI;OUI;2020-03-29T18:37:16+02:00;48.8305956423,2.31191832572;Paris;
10020;Chabrol - d'Hauteville;OUI;11;4;7;4;3;OUI;OUI;2020-03-29T18:33:44+02:00;48.877018388,2.35131796449;Paris;
21703;Square du Carrefour de l'Insurrection;OUI;23;19;4;1;3;OUI;OUI;2020-03-29T18:36:06+02:00;48.8208645598,2.29111343622;Vanves;
9026;Jean-Baptiste Pigalle - La Bruyere;OUI;17;14;3;1;2;OUI;OUI;2020-03-29T18:38:22+02:00;48.8793982645,2.33370917334;Paris;
32004;Wilson - Landy;OUI;40;30;10;6;4;OUI;OUI;2020-03-29T18:37:11+02:00;48.9151672622,2.35763322562;Saint-Denis;
8051;Batignolles - Rome;OUI;15;6;8;6;2;OUI;OUI;2020-03-29T18:35:53+02:00;48.8818233706,2.32025898993;Paris;
15058;Place du Moulin de Javel;OUI;45;26;19;16;3;OUI;OUI;2020-03-29T18:37:30+02:00;48.8402167092,2.27160606533;Paris;
21114;Gustave Eiffel - Parc des Impressionnistes;OUI;30;26;4;4;0;OUI;OUI;2020-03-29T18:31:40+02:00;48.9039061965,2.2946908325;Clichy;
20137;Borrégo - Gambetta;OUI;25;17;8;8;0;OUI;OUI;2020-03-29T18:30:15+02:00;48.8733049705,2.40141458809;Paris;
15059;Parc André Citroën;OUI;65;19;46;42;4;OUI;OUI;2020-03-29T18:37:19+02:00;48.8406399443,2.27806180716;Paris;
31023;Place François Mitterand;OUI;34;32;2;1;1;OUI;OUI;2020-03-29T18:31:44+02:00;48.8649278202,2.4429583177;Montreuil;
4011;Hôtel de Ville - Pont-Marie;OUI;36;28;8;8;0;OUI;OUI;2020-03-29T18:36:52+02:00;48.8538996455,2.35694725066;Paris;
16041;Versailles - Claude Terrasse;OUI;46;12;34;16;18;OUI;OUI;2020-03-29T18:38:11+02:00;48.8402193381,2.26383419115;Paris;
23302;Parc de Sceaux - Centre-Ville;OUI;33;14;19;1;18;OUI;OUI;2020-03-29T18:37:23+02:00;48.7769529826,2.29572147131;Sceaux;
19021;Mairie du 19ème;OUI;27;25;2;1;1;OUI;OUI;2020-03-29T18:28:43+02:00;48.8825626425,2.38126248121;Paris;
16031;Vignes - Boulainvilliers;OUI;21;13;8;6;2;OUI;OUI;2020-03-29T18:36:44+02:00;48.856399484,2.27524045855;Paris;
16014;Eylau - Trocadéro;OUI;24;18;6;3;3;OUI;OUI;2020-03-29T18:30:39+02:00;48.8633541224,2.28642091155;Paris;
9101;Cadet - La Fayette;OUI;19;8;11;9;2;OUI;OUI;2020-03-29T18:38:04+02:00;48.8756016327,2.34357040375;Paris;
16020;Place de la Porte de Passy;OUI;36;32;4;1;3;OUI;OUI;2020-03-29T18:29:24+02:00;48.8573410955,2.26441655388;Paris;
12043;Daumesnil - Hébrard;OUI;40;8;32;29;3;OUI;OUI;2020-03-29T18:38:00+02:00;48.8429,2.38474;Paris;
14131;Jourdan - Monticelli;OUI;30;26;4;1;3;OUI;OUI;2020-03-29T18:37:58+02:00;48.822032,2.329095;Paris;
42209;Place de l'Europe;OUI;17;13;4;3;1;OUI;OUI;2020-03-29T18:28:45+02:00;48.8252985884,2.39456791431;Charenton-le-Pont;
42501;Raspail - Albert Schweitzer;OUI;28;21;7;5;2;OUI;OUI;2020-03-29T18:37:31+02:00;48.81031545,2.34395871;Gentilly;
35007;Benjamin Delessert - Jean Lolive;OUI;21;17;4;4;0;OUI;OUI;2020-03-29T18:32:18+02:00;48.8939204362,2.41798192263;Pantin;
8037;Monceau - Malesherbes;OUI;38;14;24;18;6;OUI;OUI;2020-03-29T18:36:36+02:00;48.8795079,2.3145456;Paris;
22303;Lucien Lanternier - Le Luth;OUI;27;19;8;0;8;OUI;OUI;2020-03-29T18:31:26+02:00;48.9315943056,2.28897839785;Gennevilliers;
4104;Sebastopol - Rambuteau;OUI;16;12;4;4;0;OUI;OUI;2020-03-29T18:35:35+02:00;48.8618180927,2.3501381278;Paris;
44011;Lebrun - Colonel Fabien;OUI;27;23;5;2;3;OUI;OUI;2020-03-29T18:32:03+02:00;48.7826687073,2.38131780177;Vitry-sur-Seine;
8027;Mairie du 8ème;OUI;14;12;2;0;2;OUI;OUI;2020-03-29T18:33:02+02:00;48.877932,2.318264;Paris;
21315;Jules Guesdes - Général de Gaulle;OUI;24;14;10;3;7;OUI;OUI;2020-03-29T18:30:41+02:00;48.8193058129,2.27893419564;Issy-les-Moulineaux;
11001;Richard Lenoir - Place de la Bastille;OUI;53;25;28;28;0;OUI;OUI;2020-03-29T18:35:12+02:00;48.8538327,2.3697222;Paris;
12036;Reuilly - Place Felix Eboue;OUI;42;40;2;0;2;OUI;OUI;2020-03-29T18:30:49+02:00;48.840302745,2.39463039872;Paris;
16042;Murat - Porte de Saint-Cloud;OUI;38;11;27;17;10;OUI;OUI;2020-03-29T18:36:52+02:00;48.8375086262,2.25776519626;Paris;
12019;Gare de Reuilly - Picpus;OUI;28;22;7;2;5;OUI;OUI;2020-03-29T18:33:01+02:00;48.8426735412,2.39729437977;Paris;
8110;Gare Saint-Lazare - Stockholm;OUI;32;27;5;4;1;OUI;OUI;2020-03-29T18:34:47+02:00;48.8771273167,2.32241716236;Paris;
10009;Mairie du 10ème;OUI;19;0;19;19;0;OUI;OUI;2020-03-29T18:35:10+02:00;48.8720894499,2.35758259892;Paris;
16103;Traktir - Foch;OUI;22;21;1;0;1;OUI;OUI;2020-03-29T18:29:52+02:00;48.8727553346,2.29154978025;Paris;
10006;Petites Ecuries - Faubourg Saint-Denis;OUI;28;6;22;18;4;OUI;OUI;2020-03-29T18:37:42+02:00;48.8728712059,2.35421508551;Paris;
2003;Saint-Denis - Réaumur;OUI;32;16;16;14;2;OUI;OUI;2020-03-29T18:28:26+02:00;48.8661116316,2.35077906755;Paris;
35012;Candale - Mehul;OUI;25;22;3;0;3;OUI;OUI;2020-03-29T18:33:06+02:00;48.8893935006,2.41437971592;Pantin;
3007;Archives - Pastourelle;OUI;28;16;11;6;5;OUI;OUI;2020-03-29T18:31:17+02:00;48.8623615,2.3595041;Paris;
8040;Pierre Charron - Champs-Elysées;OUI;32;24;8;4;4;OUI;OUI;2020-03-29T18:37:52+02:00;48.8701033599,2.30435013771;Paris;
41602;Place Charles Digeon;OUI;32;18;14;8;6;OUI;OUI;2020-03-29T18:36:18+02:00;48.8435420313,2.41842716932;Saint-Mandé;
15044;Dantzig - Lefebvre;OUI;33;23;10;3;7;OUI;OUI;2020-03-29T18:38:14+02:00;48.8301392159,2.29593403637;Paris;
25002;Hôtel de Ville de Rueil-Malmaison;OUI;20;13;6;0;6;OUI;OUI;2020-03-29T18:32:45+02:00;48.878194,2.181724;Rueil-Malmaison;
15036;Croix Nivert - Square Saint-Lambert;OUI;47;21;26;26;0;OUI;OUI;2020-03-29T18:36:30+02:00;48.8430515216,2.29520045221;Paris;
15018;Dutot - Place Alleray;OUI;56;47;8;5;3;OUI;OUI;2020-03-29T18:36:21+02:00;48.8368260918,2.30717010956;Paris;
20022;Porte de Bagnolet;OUI;33;30;3;0;3;OUI;OUI;2020-03-29T18:36:57+02:00;48.8647071391,2.40834463735;Paris;
12112;Charenton - Jardiniers;OUI;31;14;17;15;2;OUI;OUI;2020-03-29T18:35:42+02:00;48.8338217729,2.39469266411;Paris;
4103;Archives - Rivoli;OUI;25;20;5;3;2;OUI;OUI;2020-03-29T18:37:03+02:00;48.8573467074,2.35397670418;Paris;
22503;Joffre - Aigle;OUI;20;13;7;3;4;OUI;OUI;2020-03-29T18:34:33+02:00;48.904033,2.245096;La Garenne-Colombes;
3012;Square Emile - Chautemps;OUI;25;15;10;8;2;OUI;OUI;2020-03-29T18:35:01+02:00;48.8674337242,2.35363572836;Paris;
3005;Sainte-Elisabeth - Turbigo;OUI;33;21;11;5;6;OUI;OUI;2020-03-29T18:37:42+02:00;48.8661033743,2.35964924097;Paris;
3004;Place de la République - Temple;OUI;18;2;16;9;7;OUI;OUI;2020-03-29T18:36:08+02:00;48.8672112019,2.36354643705;Paris;
19111;Cesaria Evora - Rosa Parks;OUI;40;28;12;9;3;OUI;OUI;2020-03-29T18:33:45+02:00;48.8971767283,2.37451739609;Paris;
33020;Waldeck Rochet - Germaine Tillon;OUI;31;23;8;5;3;OUI;OUI;2020-03-29T18:37:08+02:00;48.911059602,2.36763015389;Aubervilliers;
4018;Saint-Bon - Rivoli;OUI;19;6;13;12;1;OUI;OUI;2020-03-29T18:37:25+02:00;48.8579996433,2.35021728098;Paris;
1116;Ventadour - Opéra;OUI;27;16;11;10;1;OUI;OUI;2020-03-29T18:31:59+02:00;48.8668106533,2.33438844825;Paris;
2109;Réaumur - Montmartre;OUI;19;7;12;8;4;OUI;OUI;2020-03-29T18:37:30+02:00;48.8682309998,2.34382603389;Paris;
1008;Les Halles - Saint-Eustache;OUI;32;28;4;3;1;OUI;OUI;2020-03-29T18:34:25+02:00;48.863626959,2.34262391925;Paris;
13015;Chevaleret - Louise Weiss;OUI;35;21;14;12;2;OUI;OUI;2020-03-29T18:35:54+02:00;48.8325865134,2.37121138812;Paris;
12119;Dom-Pérignon - Gravelle;OUI;50;31;19;13;6;OUI;OUI;2020-03-29T18:37:27+02:00;48.8254815744,2.4098803103;Paris;
24005;Edith Cavell - Volta;OUI;33;23;10;3;7;OUI;OUI;2020-03-29T18:35:42+02:00;48.9016165643,2.26935435086;Courbevoie;
6021;Beaux-Arts - Bonaparte;OUI;20;20;1;1;0;OUI;OUI;2020-03-29T18:32:45+02:00;48.8564519854,2.33485188335;Paris;
11037;Faubourg Du Temple - Republique;OUI;38;19;20;16;4;OUI;OUI;2020-03-29T18:35:53+02:00;48.8678724847,2.36489821581;Paris;
19003;Quai de la Seine;OUI;24;17;7;3;4;OUI;OUI;2020-03-29T18:28:54+02:00;48.8844922384,2.37039417028;Paris;
8036;Lisbonne - Monceau;OUI;33;28;5;0;5;OUI;OUI;2020-03-29T18:37:44+02:00;48.8774556768,2.30969422142;Paris;
12111;Claude Decaen - Cannebière;OUI;27;16;10;5;5;OUI;OUI;2020-03-29T18:38:13+02:00;48.8376141704,2.3972537822;Paris;
19043;Delphine Seyrig - Général Leclerc;OUI;53;41;11;8;3;OUI;OUI;2020-03-29T18:35:29+02:00;48.8939239631,2.39790290594;Pantin;
8017;Rocher - Laborde;OUI;65;44;20;13;7;OUI;OUI;2020-03-29T18:36:46+02:00;48.8759024071,2.32261631638;Paris;
41404;Carnot - Pâquerettes;OUI;26;16;9;3;6;OUI;OUI;2020-03-29T18:32:44+02:00;48.7959293943,2.42618411779;Alfortville;
16038;Molitor - Chardon-Lagache;OUI;34;22;12;12;0;OUI;OUI;2020-03-29T18:36:39+02:00;48.8452088018,2.2656840831;Paris;
16136;Théophile Gautier - François Millet;OUI;30;22;8;4;4;OUI;OUI;2020-03-29T18:36:28+02:00;48.8503482132,2.27302998304;Paris;
31707;Edouard Vaillant - Galliéni;OUI;49;40;9;6;3;OUI;OUI;2020-03-29T18:37:12+02:00;48.8584628817,2.41479545832;Bagnolet;
20121;Boyer - Ménilmontant;OUI;19;16;3;2;1;OUI;OUI;2020-03-29T18:36:52+02:00;48.8688951627,2.39198241456;Paris;
9021;Saint Georges - d'Aumale;OUI;23;21;2;0;2;OUI;OUI;2020-03-29T18:37:29+02:00;48.877786396,2.33742982149;Paris;
17045;Place des Ternes;OUI;46;37;9;6;3;OUI;OUI;2020-03-29T18:35:08+02:00;48.8784386312,2.29772776365;Paris;
17037;Bayen - Pereire;OUI;22;0;22;19;3;OUI;OUI;2020-03-29T18:34:59+02:00;48.8818044091,2.29210887104;Paris;
19115;Porte de la Villette;OUI;27;20;7;1;6;OUI;OUI;2020-03-29T18:32:42+02:00;48.8983519655,2.38615013659;Paris;
16018;Flandrin - Henri Martin;OUI;18;18;0;0;0;OUI;OUI;2020-03-29T18:34:28+02:00;48.8643275,2.2724174;Paris;
5114;Claude Bernard - Arbalète;OUI;17;13;4;3;1;OUI;OUI;2020-03-29T18:30:19+02:00;48.8397667698,2.34751090407;Paris;
20120;Evariste Galois;OUI;30;23;7;1;6;OUI;OUI;2020-03-29T18:31:10+02:00;48.8730875373,2.41333801299;Paris;
5116;Place Valhubert;OUI;37;29;8;3;5;OUI;OUI;2020-03-29T18:36:00+02:00;48.8441825773,2.36403666437;Paris;
20040;Parc de Belleville - Julien Lacroix;OUI;26;24;2;0;2;OUI;OUI;2020-03-29T18:35:40+02:00;48.8703459,2.3842214;Paris;
13102;Pitié-Salpêtrière;OUI;51;26;25;18;7;OUI;OUI;2020-03-29T18:33:08+02:00;48.8372080623,2.3646864295;Paris;
21003;Jean Jaurès - Jean Baptiste Clément;OUI;24;5;19;12;7;OUI;OUI;2020-03-29T18:37:23+02:00;48.8457626145,2.23696500063;Boulogne-Billancourt;
8019;Naples - Rome;OUI;26;21;5;1;4;OUI;OUI;2020-03-29T18:36:11+02:00;48.8799607008,2.32135869563;Paris;
19023;Manin - Simon Bolivar;OUI;26;24;2;0;2;OUI;OUI;2020-03-29T18:37:55+02:00;48.8764996541,2.3794073626;Paris;
10163;Gare du Nord - Demarquay;OUI;30;24;6;5;1;OUI;OUI;2020-03-29T18:34:38+02:00;48.881154,2.358411;Paris;
14006;Saint-Jacques - Tombe Issoire;OUI;23;18;5;3;2;OUI;OUI;2020-03-29T18:35:03+02:00;48.8332063305,2.33691081405;Paris;
31001;Lagny - Auguste Blanqui;OUI;27;12;15;10;5;OUI;OUI;2020-03-29T18:36:59+02:00;48.8492256805,2.42186039686;Montreuil;
47002;Les Juilliottes;OUI;21;13;8;3;5;OUI;OUI;2020-03-29T18:34:21+02:00;48.8043072,2.4437362;Maisons-Alfort;
2110;Jeûneurs - Mulhouse;OUI;28;24;4;4;0;OUI;OUI;2020-03-29T18:38:17+02:00;48.868997,2.346925;Paris;
11044;Square du Bataclan;OUI;20;16;4;1;3;OUI;OUI;2020-03-29T18:38:00+02:00;48.8633762,2.3711327;Paris;
15133;Sellier - Saint-Cloud;NON;0;0;0;0;0;NON;NON;2019-10-10T10:45:56+02:00;48.8366868687,2.29292843633;Paris;
35011;Honoré d'Estienne d'Ovres - Grilles;OUI;18;10;8;3;5;OUI;OUI;2020-03-29T18:31:42+02:00;48.8905639474,2.40648318438;Pantin;
13010;Place d'Italie - Vincent Auriol;OUI;40;32;8;6;2;OUI;OUI;2020-03-29T18:34:58+02:00;48.8314818745,2.35675502923;Paris;
8008;Joseph Sansboeuf - Saint Lazare;OUI;18;15;3;2;1;OUI;OUI;2020-03-29T18:36:46+02:00;48.8753156307,2.32290197164;Paris;
5107;Pontoise - La Tournelle;OUI;23;11;12;9;3;OUI;OUI;2020-03-29T18:33:50+02:00;48.8504580092,2.35245427549;Paris;
22008;Charles de Gaulle - Graviers;OUI;28;22;6;4;2;OUI;OUI;2020-03-29T18:33:11+02:00;48.8831517592,2.26488143206;Neuilly-sur-Seine;
18027;Damrémont - Ordener;OUI;30;16;14;2;12;OUI;OUI;2020-03-29T18:33:25+02:00;48.893400393,2.33626652391;Paris;
13109;Brillat-Savarin - Küss;OUI;21;10;11;5;6;OUI;OUI;2020-03-29T18:36:15+02:00;48.822203,2.350422;Paris;
92001;Mairie de quartier du Plateau - Mont-Valérien;OUI;20;14;6;3;3;OUI;OUI;2020-03-29T18:33:14+02:00;48.8799933,2.2072437;Nanterre;
21401;Mairie de Clamart;OUI;33;24;4;1;3;OUI;OUI;2020-03-29T18:28:31+02:00;48.800612,2.262151;Clamart;
15022;Emile Zola - Fondary;OUI;42;31;11;9;2;OUI;OUI;2020-03-29T18:38:17+02:00;48.8470511431,2.29534059763;Paris;
9024;Taitbout - La Fayette;OUI;53;41;12;9;3;OUI;OUI;2020-03-29T18:37:50+02:00;48.8733298892,2.33526259661;Paris;
12005;Crozatier - Faubourg Saint-Antoine;OUI;29;14;14;10;4;OUI;OUI;2020-03-29T18:36:22+02:00;48.8504400134,2.37890136621;Paris;
92006;Place Nelson Mandela;OUI;30;26;4;2;2;OUI;OUI;2020-03-29T18:35:24+02:00;48.8978743182,2.21828207374;Nanterre;
1003;Saint-Denis - Rivoli;OUI;43;31;12;11;1;OUI;OUI;2020-03-29T18:37:44+02:00;48.8590593408,2.34769430012;Paris;
33014;Parc Eli Lotar;OUI;20;16;7;3;4;OUI;OUI;2020-03-29T18:33:56+02:00;48.9184499305,2.37270858139;Aubervilliers;
13123;Bibliothèque Nationale de France;OUI;42;26;16;14;2;OUI;OUI;2020-03-29T18:32:36+02:00;48.8350268238,2.3760157451;Paris;
1020;Cambon - Rivoli;OUI;40;29;10;6;4;OUI;OUI;2020-03-29T18:35:05+02:00;48.866143391,2.32518006471;Paris;
1006;Grande Truanderie - Saint-Denis;OUI;33;27;6;4;2;OUI;OUI;2020-03-29T18:30:56+02:00;48.8626302,2.3498075;Paris;
12156;Niger - Soult;OUI;24;15;9;4;5;OUI;OUI;2020-03-29T18:34:32+02:00;48.8436990637,2.41036123722;Paris;
4014;Blancs-Manteaux - Archives;OUI;29;13;16;9;7;OUI;OUI;2020-03-29T18:37:53+02:00;48.859418007,2.35594712198;Paris;
18015;Custine - Ramey;OUI;41;35;6;1;5;OUI;OUI;2020-03-29T18:31:41+02:00;48.8887358969,2.34695266932;Paris;
23101;Grande Rue - Europe;OUI;25;20;5;3;2;OUI;OUI;2020-03-29T18:31:32+02:00;48.8218104688,2.20587987453;Sèvres;
1025;Oratoire - Rivoli;OUI;18;5;13;10;3;OUI;OUI;2020-03-29T18:38:05+02:00;48.8613427609,2.34000474215;Paris;
17021;Jouffroy d'Abbans - Villiers;OUI;34;20;14;3;11;OUI;OUI;2020-03-29T18:35:44+02:00;48.884215547,2.30565335602;Paris;
2102;Saint-Marc - Feydeau;OUI;37;30;7;4;3;OUI;OUI;2020-03-29T18:35:58+02:00;48.8703106614,2.34197918326;Paris;
20048;Bagnolet - Place Saint-Blaise;OUI;28;15;13;8;5;OUI;OUI;2020-03-29T18:35:35+02:00;48.85973,2.40334;Paris;
42024;Danielle Casanova - Ledru-Rollin;OUI;28;14;14;7;7;OUI;OUI;2020-03-29T18:37:59+02:00;48.8157834979,2.3832597211;Ivry-sur-Seine;
21704;Place du Maréchal de Lattre de Tassigny;OUI;27;12;15;10;5;OUI;OUI;2020-03-29T18:36:41+02:00;48.8217077153,2.28534314854;Vanves;
12123;Château de Vincennes;OUI;52;26;26;19;7;OUI;OUI;2020-03-29T18:35:58+02:00;48.8442319326,2.43920953771;Paris;
19117;Euryale Dehaynin - Loire;OUI;30;3;28;18;10;OUI;OUI;2020-03-29T18:38:13+02:00;48.8862489173,2.37745910883;Paris;
22404;Pierre Brossolette - 12 Février 1934;OUI;25;23;2;0;2;OUI;OUI;2020-03-29T18:36:31+02:00;48.8176291291,2.30749636889;Malakoff;
12022;Sahel - Général Michel Bizot;OUI;33;0;33;24;9;OUI;OUI;2020-03-29T18:35:41+02:00;48.8408729648,2.40444447845;Paris;
20014;Charonne - Alexandre Dumas;OUI;35;22;13;4;9;OUI;OUI;2020-03-29T18:36:38+02:00;48.8560774151,2.39486932755;Paris;
31701;Mairie de Bagnolet;OUI;28;21;7;2;5;OUI;OUI;2020-03-29T18:38:16+02:00;48.8684213186,2.41795878857;Bagnolet;
15113;Arsonval - Falguière;OUI;25;4;21;13;8;OUI;OUI;2020-03-29T18:35:25+02:00;48.8404004037,2.3131178673;Paris;
21107;Bertrand Sincholle - Henri Barbusse;OUI;24;12;12;10;2;OUI;OUI;2020-03-29T18:36:50+02:00;48.8992598239,2.3042294383;Clichy;
13013;Saint-Marcel - Hôpital;OUI;21;5;16;7;9;OUI;OUI;2020-03-29T18:37:19+02:00;48.8395044246,2.36098941702;Paris;
6015;André Mazet - Saint-André des Arts;OUI;55;25;28;25;3;OUI;OUI;2020-03-29T18:38:10+02:00;48.8537558106,2.33909580857;Paris;
9008;Tour d'Auvergne - Rodier;OUI;17;12;5;3;2;OUI;OUI;2020-03-29T18:30:04+02:00;48.879161,2.343698;Paris;
10162;Alexandre Parodi - Quai de Valmy;OUI;24;14;10;8;2;OUI;OUI;2020-03-29T18:33:33+02:00;48.8793594194,2.36659616232;Paris;
10029;Dunkerque - Rocroy;OUI;24;16;8;4;4;OUI;OUI;2020-03-29T18:32:36+02:00;48.880726,2.351464;Paris;
20042;Pyrénées - Emmery;OUI;40;37;3;0;3;OUI;OUI;2020-03-29T18:31:11+02:00;48.8720102813,2.39203959703;Paris;
13001;Port-Royal - Hôpital du Val-de-Grâce;OUI;18;12;6;2;4;OUI;OUI;2020-03-29T18:33:10+02:00;48.8376682728,2.34481383466;Paris;
5004;Saint-Jacques - Val de Grâce;OUI;20;1;18;7;11;OUI;OUI;2020-03-29T18:36:07+02:00;48.8417514,2.3413893;Paris;
15054;Lecourbe - Jean Maridor;OUI;19;7;12;8;4;OUI;OUI;2020-03-29T18:32:45+02:00;48.8379636615,2.28773921728;Paris;
13053;Chevaleret - Tolbiac;OUI;21;15;6;5;1;OUI;OUI;2020-03-29T18:34:32+02:00;48.82941,2.375934;Paris;
1122;Pont-Neuf - Quai du Louvre;OUI;30;0;0;0;0;NON;NON;2020-02-29T12:46:55+01:00;48.8582958983,2.34237145633;Paris;
10042;Enghien - Faubourg Poissonnière;OUI;0;0;0;0;0;NON;NON;2020-03-29T18:37:31+02:00;48.8724200631,2.34839523628;Paris;
44004;Place de l'Eglise;OUI;28;12;16;2;14;OUI;OUI;2020-03-29T18:36:11+02:00;48.7919228199,2.39505775273;Vitry-sur-Seine;
11039;Richard Lenoir - Jean-Pierre Timbaud;OUI;36;12;24;20;4;OUI;OUI;2020-03-29T18:38:06+02:00;48.8658042767,2.36933707497;Paris;
21701;Larmeroux - Baudelaire;OUI;30;24;6;2;4;OUI;OUI;2020-03-29T18:35:24+02:00;48.8169399113,2.28098948048;Vanves;
22006;Pierret - Madrid;OUI;28;12;16;13;3;OUI;OUI;2020-03-29T18:35:40+02:00;48.8829765769,2.26012576725;Neuilly-sur-Seine;
20111;Villiers de l'Isle Adam - Pyrénées;OUI;20;16;4;0;4;OUI;OUI;2020-03-29T18:38:06+02:00;48.867362,2.396222;Paris;
18110;Departement - Pajol;OUI;19;11;8;4;4;OUI;OUI;2020-03-29T18:35:40+02:00;48.8866748497,2.36136116087;Paris;
